feature,importance
num__TotalSF,0.34182631338826674
num__OverallQual,0.3142592220748742
num__TotalBath,0.047000015417205374
num__GrLivArea,0.02377053933849253
ord__KitchenQual,0.019788881528106213
num__LotArea,0.01688487809128975
num__GarageCars,0.016168973119657946
ord__GarageFinish,0.01568631833128167
num__OverallCond,0.015239736956816378
ord__BsmtQual,0.014949355463761842
num__YearBuilt,0.011571278931583207
num__GarageArea,0.011252273483450885
num__HouseAge,0.009136670740388281
num__RemodAge,0.008938349650064983
num__BsmtFinSF1,0.00842915883135116
num__YearRemodAdd,0.007843711952453883
ord__FireplaceQu,0.007726961704070375
nom__CentralAir_Y,0.007315957772602716
ord__GarageCond,0.006325252325446354
nom__CentralAir_N,0.0063068266326898135
num__1stFlrSF,0.005287867661293991
num__KitchenAbvGr,0.004899618035385676
num__Fireplaces,0.004882793894550436
num__2ndFlrSF,0.00475894583945526
ord__Functional,0.0045562520319508346
num__GarageYrBlt,0.004063496660589094
ord__BsmtFinType1,0.0040277166737617415
num__BsmtUnfSF,0.0037484818492637406
num__TotalPorchSF,0.003337693105595155
nom__MSZoning_RM,0.003312162743016937
nom__Neighborhood_Crawfor,0.0026913159802890163
num__LotFrontage,0.002396580729429186
ord__BsmtExposure,0.0022544317903465194
num__Id,0.0020911911324456764
nom__Exterior1st_BrkComm,0.0018331943284106455
num__MoSold,0.0017249057062902829
num__OpenPorchSF,0.001695442964257435
nom__Exterior1st_BrkFace,0.0016145119451012832
num__TotalBsmtSF,0.0015991810786822594
num__GarageAge,0.0015302023638514898
nom__Condition1_Artery,0.0014346825057621794
num__ScreenPorch,0.0013317017744364234
nom__MSSubClass_30,0.0011270249310671107
nom__Neighborhood_Edwards,0.0011099848317385986
nom__MSZoning_RL,0.0010560075998988533
nom__MSZoning_C (all),0.0009242823296435738
num__WoodDeckSF,0.0008881155280294141
num__TotRmsAbvGrd,0.000884067688415319
nom__Condition1_Norm,0.0007445885480018014
nom__Neighborhood_StoneBr,0.000735137029658808
num__PoolArea,0.0007286950761474597
nom__LandContour_Bnk,0.000722338573137349
nom__LotConfig_CulDSac,0.0007207484721146105
nom__Exterior2nd_Brk Cmn,0.0007037334253641736
num__EnclosedPorch,0.0005884476967942577
nom__LandContour_HLS,0.0005573842367665386
num__BsmtFinSF2,0.000539832672276029
nom__Exterior1st_MetalSd,0.00047277202260619946
nom__Heating_Grav,0.00046506397078090563
nom__Condition1_RRAe,0.00044375034527899623
ord__ExterCond,0.00043183966180262745
nom__Neighborhood_ClearCr,0.00042876223527193205
num__MasVnrArea,0.0004060358577400395
nom__Exterior1st_VinylSd,0.0003963542297824454
nom__Neighborhood_BrkSide,0.0003892944931617369
num__YrSold,0.00037811283117803824
num__BedroomAbvGr,0.00035408792722945657
num__FullBath,0.0003356463429328896
ord__LandSlope,0.0003247112382116574
nom__Neighborhood_Somerst,0.0002883866782479554
ord__LotShape,0.0002602086523136354
nom__LotConfig_FR2,0.0002590146431185133
ord__BsmtFinType2,0.0002584503992793665
nom__Exterior1st_Plywood,0.00024687003295677116
nom__RoofMatl_ClyTile,0.00023763909332651478
ord__GarageQual,0.00023671098813397734
nom__MSSubClass_70,0.00023652450208039514
nom__Neighborhood_NAmes,0.00021422361360162175
num__LowQualFinSF,0.00019470465599860523
nom__Foundation_BrkTil,0.00018119174971278218
nom__Exterior2nd_AsbShng,0.0001806513030629322
ord__PoolQC,0.00017230738921009575
ord__HeatingQC,0.00016721509529337824
nom__Exterior2nd_Stucco,0.00015922424590095283
nom__Neighborhood_OldTown,0.00015598074478408053
nom__Electrical_FuseA,0.00015329179907303838
nom__MSSubClass_20,0.000140491673001598
nom__Condition1_PosN,0.00013863643692674086
num__BsmtFullBath,0.00013599401632061097
nom__Neighborhood_Sawyer,0.0001345813162949629
nom__Neighborhood_Blmngtn,0.0001309615675969386
ord__BsmtCond,0.0001281285754473446
nom__Exterior1st_Stucco,0.00012653020151533515
nom__Condition1_PosA,0.00012168581182261252
nom__MSZoning_FV,0.00011713796986261532
nom__MSSubClass_50,0.00011153456291084533
nom__HouseStyle_1Story,0.00011013926823841282
nom__Neighborhood_SWISU,0.00010959110109484327
nom__MSSubClass_160,0.00010306980642083228
nom__Neighborhood_MeadowV,9.927540415053461e-05
ord__ExterQual,9.53953703405142e-05
nom__Exterior1st_HdBoard,9.347590420287996e-05
nom__Exterior2nd_VinylSd,9.152248367980447e-05
nom__Neighborhood_NWAmes,9.141696438517462e-05
nom__Exterior2nd_Wd Shng,9.117538066202662e-05
nom__MSSubClass_60,8.978004122106283e-05
nom__Condition2_PosN,8.956535932434822e-05
nom__HouseStyle_2Story,8.692590563236023e-05
nom__Heating_GasA,8.60153204441943e-05
nom__Electrical_FuseF,8.365393459563396e-05
ord__Fence,7.932499123241107e-05
nom__Foundation_PConc,7.520573629639065e-05
