feature,importance,coefficient
num__BsmtUnfSF,0.18601090876649484,-0.18601090876649484
num__TotalSF,0.16769687012730272,0.16769687012730272
num__BsmtFinSF1,0.1643180218963468,-0.1643180218963468
nom__Condition2_PosN,0.14133711007920405,-0.14133711007920405
nom__MSZoning_C (all),0.12081605146273511,-0.12081605146273511
num__TotalBsmtSF,0.1194866292422264,0.1194866292422264
nom__Neighborhood_StoneBr,0.10220923567495244,0.10220923567495244
nom__Exterior1st_BrkFace,0.10196501440266804,0.10196501440266804
nom__Neighborhood_NridgHt,0.08748699517378895,0.08748699517378895
nom__Neighborhood_Crawfor,0.08396317619933594,0.08396317619933594
num__OverallQual,0.0698393933838983,0.0698393933838983
nom__MSSubClass_160,0.06679611332700067,-0.06679611332700067
nom__Neighborhood_Somerst,0.06613929023774776,0.06613929023774776
num__BsmtFinSF2,0.05991638923128113,-0.05991638923128113
num__HouseAge,0.05702645786103397,-0.05702645786103397
nom__MSSubClass_30,0.046205363964601946,-0.046205363964601946
nom__Neighborhood_BrkSide,0.04542211348187122,0.04542211348187122
num__OverallCond,0.04413648716224024,0.04413648716224024
nom__Condition1_Norm,0.03950574098346646,0.03950574098346646
nom__MSZoning_RM,0.0388760598400055,-0.0388760598400055
nom__CentralAir_N,0.03656357613787051,-0.03656357613787051
nom__Foundation_PConc,0.03555722082359978,0.03555722082359978
nom__LotConfig_CulDSac,0.03534438923988597,0.03534438923988597
nom__BldgType_1Fam,0.03522330369938894,0.03522330369938894
ord__Functional,0.03483161149519261,0.03483161149519261
nom__LandContour_HLS,0.03293023523736962,0.03293023523736962
nom__BldgType_Twnhs,0.030135527545788094,-0.030135527545788094
nom__Heating_Grav,0.027073224082221795,-0.027073224082221795
nom__Neighborhood_ClearCr,0.02469436366399442,0.02469436366399442
num__GarageCars,0.02244457663457285,0.02244457663457285
nom__Neighborhood_MeadowV,0.021524891874972044,-0.021524891874972044
ord__GarageQual,0.02078900460720791,0.02078900460720791
num__RemodAge,0.02049675857108297,-0.02049675857108297
nom__MSSubClass_70,0.019923601477471787,0.019923601477471787
num__TotalBath,0.019708320818400626,0.019708320818400626
nom__Condition1_RRAe,0.017987149219439037,-0.017987149219439037
nom__Exterior1st_MetalSd,0.017716034784318924,0.017716034784318924
nom__Neighborhood_NoRidge,0.01719542210474782,0.01719542210474782
num__TotRmsAbvGrd,0.01693244508567207,0.01693244508567207
nom__Condition1_Artery,0.016275600623267612,-0.016275600623267612
ord__BsmtExposure,0.015064089389022314,0.015064089389022314
num__LotArea,0.01444891400183849,0.01444891400183849
nom__Exterior2nd_Wd Sdng,0.013833062137574946,0.013833062137574946
nom__LandContour_Bnk,0.013694642711378976,-0.013694642711378976
nom__Neighborhood_NWAmes,0.013150018562757035,-0.013150018562757035
num__Fireplaces,0.012708675891143656,0.012708675891143656
num__GarageArea,0.011887354603446112,0.011887354603446112
ord__ExterCond,0.011832882877501503,-0.011832882877501503
ord__ExterQual,0.011370511368134233,0.011370511368134233
nom__Neighborhood_Edwards,0.011367419412642023,-0.011367419412642023
ord__HeatingQC,0.010975152135450653,0.010975152135450653
num__WoodDeckSF,0.010683027499216874,0.010683027499216874
num__HalfBath,0.010526782388281954,0.010526782388281954
num__ScreenPorch,0.010380897442595027,0.010380897442595027
nom__MSSubClass_20,0.010238219286547431,0.010238219286547431
num__KitchenAbvGr,0.010044824785932747,-0.010044824785932747
num__LowQualFinSF,0.00997875647598202,0.00997875647598202
nom__Neighborhood_Gilbert,0.009684460820148797,-0.009684460820148797
ord__KitchenQual,0.009429927421308052,0.009429927421308052
nom__Neighborhood_Mitchel,0.007706750981933256,-0.007706750981933256
ord__BsmtQual,0.006955414978327641,0.006955414978327641
nom__Exterior1st_Wd Sdng,0.006934672001713368,-0.006934672001713368
nom__BldgType_2fmCon,0.00673310611849692,0.00673310611849692
num__1stFlrSF,0.006238345410034957,0.006238345410034957
num__TotalPorchSF,0.005491299006582576,0.005491299006582576
nom__MSSubClass_60,0.005153577575673316,-0.005153577575673316
ord__FireplaceQu,0.005137022498494026,0.005137022498494026
num__EnclosedPorch,0.005069867344461656,0.005069867344461656
nom__RoofStyle_Gable,0.00478872546184828,-0.00478872546184828
ord__BsmtCond,0.00446628170237287,-0.00446628170237287
num__3SsnPorch,0.004311181528900612,0.004311181528900612
ord__Fence,0.0037005703110008894,-0.0037005703110008894
nom__MSZoning_RL,0.003582036728233378,0.003582036728233378
num__BsmtFullBath,0.003324012726220723,0.003324012726220723
ord__BsmtFinType2,0.0027920074524508407,-0.0027920074524508407
nom__Neighborhood_SawyerW,0.002721822807366339,-0.002721822807366339
num__Id,0.002625622754629184,-0.002625622754629184
num__BsmtHalfBath,0.002341134590041778,-0.002341134590041778
ord__BsmtFinType1,0.001951952445093777,0.001951952445093777
num__MoSold,0.0018060175468658246,-0.0018060175468658246
nom__Electrical_FuseA,0.00161533699481886,0.00161533699481886
ord__LotShape,0.0015243137936444967,-0.0015243137936444967
num__LotFrontage,0.001445898017573979,0.001445898017573979
num__HasGarage,0.001350616537939807,-0.001350616537939807
nom__MSZoning_FV,0.0012275279427282522,0.0012275279427282522
num__MasVnrArea,0.0012158474573065777,0.0012158474573065777
num__MiscVal,0.0007665765715449353,-0.0007665765715449353
nom__Foundation_CBlock,0.000726360378409119,-0.000726360378409119
num__GarageAge,0.0005873664289609131,-0.0005873664289609131
nom__CentralAir_Y,4.3198284140653486e-18,4.3198284140653486e-18
nom__MSSubClass_190,0.0,0.0
nom__MSSubClass_75,0.0,0.0
nom__MSSubClass_80,0.0,0.0
ord__GarageCond,0.0,-0.0
nom__MSZoning_RH,0.0,0.0
nom__MSSubClass_85,0.0,-0.0
nom__MSSubClass_90,0.0,-0.0
nom__MSSubClass_120,0.0,-0.0
nom__MSSubClass_180,0.0,-0.0
num__PoolArea,0.0,0.0
num__OpenPorchSF,0.0,-0.0
num__BedroomAbvGr,0.0,-0.0
num__GarageYrBlt,0.0,-0.0
num__YrSold,0.0,-0.0
ord__LandSlope,0.0,0.0
num__GrLivArea,0.0,0.0
num__FullBath,0.0,0.0
num__YearBuilt,0.0,0.0
num__2ndFlrSF,0.0,-0.0
num__YearRemodAdd,0.0,0.0
ord__GarageFinish,0.0,0.0
ord__PoolQC,0.0,-0.0
nom__MSSubClass_40,0.0,0.0
nom__MSSubClass_45,0.0,-0.0
nom__MSSubClass_50,0.0,0.0
nom__Street_Pave,0.0,0.0
nom__Street_Grvl,0.0,-0.0
nom__Neighborhood_Sawyer,0.0,-0.0
nom__Neighborhood_NPkVill,0.0,0.0
nom__Neighborhood_IDOTRR,0.0,-0.0
nom__Neighborhood_SWISU,0.0,0.0
nom__Neighborhood_OldTown,0.0,0.0
nom__LandContour_Low,0.0,0.0
nom__LotConfig_Corner,0.0,0.0
nom__Condition1_PosN,0.0,-0.0
nom__Condition1_RRAn,0.0,0.0
nom__Condition1_RRNe,0.0,0.0
nom__Condition1_PosA,0.0,-0.0
nom__Neighborhood_Veenker,0.0,0.0
nom__Condition1_Feedr,0.0,0.0
nom__Neighborhood_Timber,0.0,0.0
nom__Condition2_Norm,0.0,0.0
nom__Condition2_Feedr,0.0,0.0
nom__Condition2_Artery,0.0,-0.0
nom__Condition1_RRNn,0.0,0.0
nom__Condition2_RRAn,0.0,-0.0
nom__Neighborhood_CollgCr,0.0,-0.0
nom__Neighborhood_NAmes,0.0,-0.0
nom__Utilities_NoSeWa,0.0,-0.0
nom__Neighborhood_Blueste,0.0,0.0
nom__Neighborhood_BrDale,0.0,-0.0
nom__LotConfig_Inside,0.0,-0.0
nom__Neighborhood_Blmngtn,0.0,-0.0
nom__LotConfig_FR3,0.0,-0.0
nom__LotConfig_FR2,0.0,-0.0
nom__LandContour_Lvl,0.0,-0.0
nom__Utilities_AllPub,0.0,0.0
nom__HouseStyle_2Story,0.0,-0.0
nom__HouseStyle_2.5Unf,0.0,0.0
nom__HouseStyle_2.5Fin,0.0,-0.0
nom__HouseStyle_1Story,0.0,0.0
nom__HouseStyle_1.5Unf,0.0,0.0
nom__HouseStyle_1.5Fin,0.0,-0.0
nom__BldgType_TwnhsE,0.0,-0.0
nom__BldgType_Duplex,0.0,-0.0
nom__Condition2_PosA,0.0,0.0
nom__Condition2_RRNn,0.0,0.0
nom__Condition2_RRAe,0.0,-0.0
nom__RoofMatl_ClyTile,0.0,-0.0
nom__RoofStyle_Gambrel,0.0,-0.0
nom__HouseStyle_SFoyer,0.0,-0.0
nom__HouseStyle_SLvl,0.0,0.0
nom__RoofStyle_Flat,0.0,0.0
nom__Exterior1st_AsbShng,0.0,0.0
nom__RoofMatl_WdShngl,0.0,0.0
nom__RoofMatl_WdShake,0.0,0.0
nom__Exterior1st_BrkComm,0.0,-0.0
nom__Exterior1st_CBlock,0.0,-0.0
nom__Exterior1st_CemntBd,0.0,-0.0
nom__Exterior1st_HdBoard,0.0,-0.0
nom__Exterior1st_AsphShn,0.0,0.0
nom__Exterior1st_ImStucc,0.0,0.0
nom__RoofMatl_CompShg,0.0,-0.0
nom__RoofMatl_Metal,0.0,0.0
nom__RoofMatl_Roll,0.0,0.0
nom__RoofMatl_Tar&Grv,0.0,0.0
nom__RoofStyle_Hip,0.0,-0.0
nom__RoofStyle_Mansard,0.0,0.0
nom__RoofStyle_Shed,0.0,0.0
nom__Exterior2nd_AsphShn,0.0,0.0
nom__Exterior2nd_AsbShng,0.0,-0.0
nom__Exterior1st_WdShing,0.0,-0.0
nom__Exterior1st_VinylSd,0.0,-0.0
nom__Exterior1st_Stone,0.0,0.0
nom__Exterior1st_Stucco,0.0,0.0
nom__Exterior1st_Plywood,0.0,-0.0
nom__Exterior2nd_Brk Cmn,0.0,-0.0
nom__Exterior2nd_Other,0.0,-0.0
nom__Exterior2nd_MetalSd,0.0,0.0
nom__Exterior2nd_Plywood,0.0,-0.0
nom__Exterior2nd_BrkFace,0.0,0.0
nom__Exterior2nd_HdBoard,0.0,-0.0
nom__Exterior2nd_ImStucc,0.0,0.0
nom__Exterior2nd_CBlock,0.0,-0.0
nom__Exterior2nd_CmentBd,0.0,0.0
nom__Foundation_BrkTil,0.0,-0.0
nom__Exterior2nd_Wd Shng,0.0,-0.0
nom__Exterior2nd_Stucco,0.0,0.0
nom__Exterior2nd_VinylSd,0.0,-0.0
nom__Exterior2nd_Stone,0.0,0.0
nom__Foundation_Wood,0.0,-0.0
nom__Foundation_Stone,0.0,0.0
nom__Foundation_Slab,0.0,0.0
nom__Heating_GasW,0.0,0.0
nom__Heating_GasA,0.0,0.0
nom__Heating_Floor,0.0,-0.0
nom__Heating_Wall,0.0,0.0
nom__Heating_OthW,0.0,-0.0
nom__Electrical_FuseF,0.0,-0.0
nom__Electrical_FuseP,0.0,-0.0
nom__Electrical_SBrkr,0.0,-0.0
