feature,importance
num__LotArea,853
num__Id,666
num__TotalSF,662
num__GarageArea,632
num__BsmtUnfSF,606
num__GrLivArea,599
num__TotalPorchSF,553
num__1stFlrSF,536
num__TotalBsmtSF,428
num__BsmtFinSF1,417
num__LotFrontage,375
num__MoSold,350
num__OverallCond,338
num__OpenPorchSF,337
num__GarageYrBlt,326
num__GarageAge,307
num__OverallQual,305
num__WoodDeckSF,300
num__MasVnrArea,297
num__HouseAge,291
num__RemodAge,262
num__2ndFlrSF,249
num__YearBuilt,238
num__YearRemodAdd,236
num__TotalBath,203
num__YrSold,171
ord__BsmtExposure,170
num__EnclosedPorch,155
num__TotRmsAbvGrd,154
ord__FireplaceQu,120
ord__HeatingQC,111
num__BedroomAbvGr,102
ord__BsmtFinType1,99
ord__LotShape,98
ord__KitchenQual,94
ord__Functional,90
num__GarageCars,89
ord__BsmtQual,80
num__Fireplaces,76
nom__CentralAir_N,74
nom__Exterior1st_BrkFace,66
nom__Neighborhood_Edwards,64
ord__Fence,62
ord__BsmtFinType2,61
nom__Neighborhood_BrkSide,60
ord__BsmtCond,59
nom__Exterior1st_Plywood,50
ord__GarageFinish,50
num__BsmtFinSF2,50
ord__ExterCond,49
nom__LandContour_Bnk,47
nom__HouseStyle_1Story,44
nom__Exterior2nd_CmentBd,43
nom__RoofStyle_Gable,42
nom__LotConfig_FR2,42
nom__Neighborhood_StoneBr,41
nom__Condition1_Norm,41
num__BsmtFullBath,40
nom__LotConfig_CulDSac,39
num__ScreenPorch,39
nom__Heating_GasA,38
nom__LotConfig_Inside,37
nom__Neighborhood_Crawfor,37
nom__Exterior2nd_Plywood,37
nom__Condition1_Artery,36
nom__Exterior1st_Stucco,34
nom__Foundation_PConc,33
nom__MSZoning_RL,31
num__HalfBath,31
ord__ExterQual,30
nom__MSSubClass_20,29
nom__Electrical_SBrkr,28
nom__Neighborhood_OldTown,25
nom__MSZoning_RM,24
ord__GarageCond,24
nom__Neighborhood_Somerst,23
nom__Exterior1st_MetalSd,22
nom__BldgType_1Fam,22
num__FullBath,21
nom__LandContour_Lvl,21
nom__LandContour_HLS,20
nom__Neighborhood_NAmes,20
nom__Exterior1st_VinylSd,20
num__KitchenAbvGr,19
nom__LandContour_Low,19
nom__Foundation_BrkTil,19
nom__Exterior1st_Wd Sdng,19
nom__MSSubClass_60,18
nom__HouseStyle_2Story,17
nom__MSZoning_FV,17
nom__Exterior2nd_VinylSd,17
nom__MSSubClass_80,17
nom__Exterior1st_HdBoard,16
nom__Neighborhood_Mitchel,16
nom__Neighborhood_SawyerW,15
nom__CentralAir_Y,15
nom__Exterior2nd_Wd Sdng,14
nom__Neighborhood_Sawyer,13
nom__BldgType_TwnhsE,13
nom__HouseStyle_1.5Fin,13
nom__Exterior2nd_Stucco,13
nom__Exterior2nd_HdBoard,12
nom__Neighborhood_IDOTRR,12
ord__GarageQual,11
nom__RoofStyle_Hip,11
nom__Electrical_FuseA,11
nom__Neighborhood_NridgHt,10
nom__Neighborhood_NWAmes,10
nom__Foundation_CBlock,9
num__LowQualFinSF,9
nom__MSSubClass_50,9
nom__MSSubClass_70,8
nom__MSSubClass_30,7
nom__Exterior2nd_MetalSd,7
nom__LotConfig_Corner,7
ord__LandSlope,6
nom__MSSubClass_90,6
nom__Neighborhood_SWISU,5
nom__Neighborhood_NoRidge,3
nom__HouseStyle_SLvl,3
nom__BldgType_Duplex,2
nom__Condition1_Feedr,1
nom__Street_Grvl,0
nom__Street_Pave,0
nom__MSSubClass_85,0
nom__MSSubClass_45,0
nom__MSSubClass_40,0
ord__PoolQC,0
num__PoolArea,0
num__3SsnPorch,0
num__HasGarage,0
num__MiscVal,0
num__BsmtHalfBath,0
nom__MSZoning_C (all),0
nom__MSZoning_RH,0
