feature,importance
num__OverallQual,0.3916612090435095
num__TotalSF,0.3615129143576168
num__GrLivArea,0.013104516064061435
num__LotArea,0.011696994287543417
num__GarageCars,0.01145479010127872
num__TotalBath,0.010326814182633285
num__GarageArea,0.010154601896307295
num__RemodAge,0.008823958766651843
num__HouseAge,0.008702921768169003
num__YearBuilt,0.008550463346006568
num__OverallCond,0.007963988365299029
num__BsmtFinSF1,0.00763461964402494
num__YearRemodAdd,0.006312115664231593
num__BsmtUnfSF,0.0062686140658168785
num__GarageYrBlt,0.005783952585616683
nom__CentralAir_N,0.005712485813314336
nom__CentralAir_Y,0.0055537362498074925
ord__FireplaceQu,0.005546790827663577
ord__KitchenQual,0.005310500891018601
num__1stFlrSF,0.005243469706343867
num__LotFrontage,0.005106275000455461
num__2ndFlrSF,0.0050342342447741
ord__BsmtQual,0.004997334371450236
num__TotalBsmtSF,0.004885889385546012
ord__GarageFinish,0.0048560348355373645
ord__BsmtFinType1,0.004353878851619652
num__Id,0.0041425056207699375
num__MoSold,0.003614786466098302
num__TotalPorchSF,0.003292817606916753
num__OpenPorchSF,0.00302428404620518
ord__BsmtExposure,0.00258906610913953
ord__GarageCond,0.002512003608739368
num__WoodDeckSF,0.0025111907310755802
num__GarageAge,0.002487893022099237
ord__GarageQual,0.0021639459258077204
ord__Functional,0.0021291240967950143
nom__MSZoning_RM,0.0020959589880473663
num__MasVnrArea,0.0017457790761253372
num__KitchenAbvGr,0.0016750270562958984
ord__LotShape,0.0016018453109993415
ord__HeatingQC,0.0015192349907992325
nom__Neighborhood_OldTown,0.00145153509546026
num__EnclosedPorch,0.0014179523370710556
num__TotRmsAbvGrd,0.0013314578490939645
num__Fireplaces,0.0013083907205757228
num__YrSold,0.0012493501522676635
nom__Exterior1st_BrkComm,0.0011060325649541428
num__BedroomAbvGr,0.0010728601369871652
ord__ExterQual,0.0008781794798214194
nom__MSZoning_RL,0.000742005248267653
nom__Exterior2nd_Brk Cmn,0.0007413067528090801
nom__LandContour_Lvl,0.0007278045931689185
ord__ExterCond,0.00072516163386868
nom__MSSubClass_60,0.0007193852410555081
nom__Neighborhood_Crawfor,0.0006591313381537746
num__HalfBath,0.0006403845117461953
nom__Neighborhood_Edwards,0.0006241766156135139
num__ScreenPorch,0.0006222747502051017
num__FullBath,0.0006046072115759156
nom__MSZoning_C (all),0.0006029991397413577
ord__Fence,0.0005990021076510483
nom__Exterior2nd_VinylSd,0.0005891322421015795
nom__Exterior1st_VinylSd,0.0005623244370290411
nom__MSSubClass_30,0.0005298725204932739
nom__BldgType_1Fam,0.000497563028935775
ord__BsmtCond,0.0004692646060444173
nom__Condition1_Norm,0.0004671241425938222
num__BsmtFinSF2,0.00045751755019130956
num__BsmtFullBath,0.00044581148907608205
nom__LotConfig_Inside,0.00042512133068282513
ord__LandSlope,0.0004039848063180147
nom__LandContour_HLS,0.0003918098979981291
nom__LotConfig_Corner,0.0003901649099344794
ord__BsmtFinType2,0.0003848987160430298
nom__Neighborhood_NAmes,0.0003568052025366764
nom__LotConfig_CulDSac,0.0003484307533053579
nom__Foundation_PConc,0.00033960013672945124
nom__Foundation_BrkTil,0.0003314341553643008
nom__Exterior1st_BrkFace,0.0003253532449023155
nom__RoofStyle_Hip,0.00032176343499387727
nom__LandContour_Bnk,0.0003138195482599146
nom__Condition1_Artery,0.00030739087304942133
nom__Exterior2nd_MetalSd,0.0002926203674023025
nom__Exterior2nd_Plywood,0.00028862794154519057
nom__MSSubClass_20,0.000287979801251364
nom__RoofStyle_Gable,0.00028355223127766034
nom__HouseStyle_2Story,0.00028009730553923073
nom__Foundation_CBlock,0.00027180602200182775
nom__MSSubClass_50,0.00026174422651636465
nom__MSSubClass_160,0.00025917330707592867
nom__Neighborhood_IDOTRR,0.00024971319704751024
nom__Electrical_SBrkr,0.00024624569508043345
nom__Exterior1st_MetalSd,0.00024101057813912216
nom__Exterior1st_Plywood,0.00023139922830376738
nom__Exterior1st_Wd Sdng,0.00022441895755637818
nom__Neighborhood_NridgHt,0.00021311532857376362
nom__HouseStyle_1.5Fin,0.0001961327616756323
nom__Exterior2nd_Wd Sdng,0.00018866771129644788
num__BsmtHalfBath,0.00018315880437847054
num__HasGarage,0.00018272105859534182
nom__HouseStyle_1Story,0.0001751029505186441
nom__Exterior2nd_Stucco,0.00017101810205234118
nom__Neighborhood_StoneBr,0.00016811028603793044
nom__Neighborhood_CollgCr,0.00016711305670460025
nom__Neighborhood_Sawyer,0.00014996230402472506
num__PoolArea,0.00014484672178385397
nom__Neighborhood_Somerst,0.00014437509452717778
nom__Neighborhood_NoRidge,0.00014056382551329213
nom__Electrical_FuseA,0.00013470278532223243
nom__Exterior1st_HdBoard,0.00013243597419170168
nom__Heating_Grav,0.00013239971633558794
nom__Exterior2nd_HdBoard,0.00013218365818423405
nom__RoofMatl_CompShg,0.00013133882534857732
nom__Condition1_Feedr,0.00013131935823073083
num__3SsnPorch,0.00012963234511136553
nom__Neighborhood_NWAmes,0.00012254828692275982
nom__MSSubClass_80,0.00011980938439852957
nom__HouseStyle_SLvl,0.00011538520304159529
nom__Neighborhood_Mitchel,0.0001098629756116171
num__MiscVal,0.00010865474094771225
nom__Exterior1st_CemntBd,0.00010838605227548384
nom__MSSubClass_70,0.00010780193980748384
nom__Electrical_FuseF,9.911951173226672e-05
nom__Exterior2nd_CmentBd,9.34517003613207e-05
nom__Condition2_Norm,9.340198695371072e-05
nom__Neighborhood_BrkSide,8.389004818071031e-05
nom__RoofStyle_Flat,8.227139574048586e-05
nom__Neighborhood_ClearCr,7.847830194701609e-05
nom__LotConfig_FR2,7.586457587912986e-05
ord__PoolQC,7.011741303135541e-05
nom__LandContour_Low,6.787507889004586e-05
nom__Exterior1st_AsbShng,6.62212028967366e-05
nom__Condition1_PosN,6.550133939698703e-05
nom__Neighborhood_Gilbert,6.507932239346229e-05
nom__Exterior1st_Stucco,6.486075775864194e-05
nom__Heating_GasA,6.476853663086721e-05
nom__MSSubClass_90,6.117279021538127e-05
nom__Neighborhood_SawyerW,5.9234239147899436e-05
nom__BldgType_TwnhsE,5.8888959540087146e-05
nom__MSZoning_RH,5.862468681051375e-05
nom__Condition1_RRAe,5.794098060921053e-05
nom__Heating_GasW,5.662748802033958e-05
nom__BldgType_Duplex,5.5226182081116524e-05
nom__MSZoning_FV,4.9104749814768776e-05
nom__MSSubClass_120,4.855353842975962e-05
nom__Neighborhood_SWISU,4.7435836855892366e-05
nom__BldgType_2fmCon,4.409522587332137e-05
nom__Exterior2nd_Wd Shng,4.360839736992672e-05
nom__BldgType_Twnhs,4.2471933958039006e-05
nom__MSSubClass_190,4.2463240213053465e-05
nom__Neighborhood_Timber,4.062710477852368e-05
nom__Exterior2nd_BrkFace,4.011377706406229e-05
nom__Exterior1st_WdShing,3.8713905516922885e-05
nom__RoofStyle_Gambrel,3.833329652229222e-05
nom__Exterior2nd_AsbShng,3.7656787851233166e-05
num__LowQualFinSF,3.739994523556102e-05
nom__RoofMatl_ClyTile,3.5121785701825945e-05
nom__RoofMatl_Tar&Grv,3.365360627269256e-05
nom__Condition1_RRAn,3.120986475142488e-05
nom__Exterior2nd_ImStucc,2.7985384267602442e-05
nom__Neighborhood_Veenker,2.659225790173125e-05
nom__HouseStyle_2.5Unf,2.6563108313336608e-05
nom__Foundation_Slab,2.4254130402594405e-05
nom__Condition1_PosA,2.3029652009675186e-05
nom__Neighborhood_BrDale,1.9481156972734272e-05
nom__Neighborhood_MeadowV,1.8934303374548304e-05
nom__HouseStyle_1.5Unf,1.6803966892154935e-05
nom__Condition2_PosN,1.5790997074444272e-05
nom__MSSubClass_75,1.4105478232390339e-05
nom__HouseStyle_SFoyer,1.3075513260124919e-05
nom__MSSubClass_85,1.2227623862051367e-05
nom__HouseStyle_2.5Fin,9.976666989849124e-06
nom__Neighborhood_Blmngtn,9.546736485050813e-06
nom__Condition2_Artery,9.093769831589285e-06
nom__LotConfig_FR3,8.96096857351025e-06
nom__Neighborhood_NPkVill,7.970255255765945e-06
nom__Electrical_FuseP,7.281194330246777e-06
nom__Exterior2nd_Stone,5.702368166653609e-06
nom__Heating_OthW,5.5186259060806135e-06
nom__Exterior1st_CBlock,5.449255420478806e-06
nom__Heating_Wall,5.2378614224302405e-06
nom__Street_Grvl,4.833424080516848e-06
nom__MSSubClass_40,4.724133893314213e-06
nom__Exterior1st_Stone,4.6386056314384706e-06
nom__MSSubClass_45,4.511987399875017e-06
nom__Heating_Floor,4.06997292605374e-06
nom__Exterior2nd_AsphShn,3.760237646106919e-06
nom__RoofMatl_Roll,3.530694165672374e-06
nom__Exterior2nd_Other,3.522927223785107e-06
nom__Condition1_RRNn,3.3046939004112076e-06
nom__RoofMatl_WdShngl,2.9390998605319526e-06
nom__RoofStyle_Mansard,2.061615155799918e-06
nom__RoofMatl_Metal,2.061026086142477e-06
nom__Utilities_AllPub,1.7404588150175422e-06
nom__Foundation_Wood,1.6005765053870394e-06
nom__Condition2_Feedr,1.4327533128981816e-06
nom__RoofMatl_WdShake,1.074517384455614e-06
nom__MSSubClass_180,1.037147388040999e-06
nom__Neighborhood_Blueste,1.0080012795276774e-06
nom__Utilities_NoSeWa,7.23103840718995e-07
nom__Condition2_RRNn,6.99085604244603e-07
nom__Exterior2nd_CBlock,5.847204657589457e-07
nom__Foundation_Stone,4.605042448764284e-07
nom__Street_Pave,3.767065404142531e-07
nom__RoofStyle_Shed,3.217560587087225e-07
nom__Exterior1st_AsphShn,2.390346466892617e-07
nom__Condition2_PosA,1.634007625660124e-07
nom__Condition2_RRAn,1.34087121295489e-07
nom__Condition1_RRNe,8.520561021736244e-08
nom__Exterior1st_ImStucc,6.594650862047951e-08
nom__Condition2_RRAe,4.421753773970061e-08
