feature,importance,coefficient
nom__Condition2_PosN,0.194715853702298,-0.194715853702298
num__BsmtUnfSF,0.18192962472369545,-0.18192962472369545
num__BsmtFinSF1,0.1613383713263842,-0.1613383713263842
nom__MSZoning_C (all),0.15839731676042618,-0.15839731676042618
num__TotalBsmtSF,0.15058845625972367,0.15058845625972367
nom__Neighborhood_StoneBr,0.11145137496741597,0.11145137496741597
nom__Exterior1st_BrkComm,0.10840050323228997,-0.10840050323228997
num__TotalSF,0.09736456158775132,0.09736456158775132
nom__Neighborhood_MeadowV,0.0926006341721227,-0.0926006341721227
nom__Exterior1st_BrkFace,0.09218703607063268,0.09218703607063268
nom__RoofMatl_ClyTile,0.0899903740279588,-0.0899903740279588
nom__Neighborhood_NridgHt,0.08886418558362755,0.08886418558362755
nom__Heating_Grav,0.08382707583179688,-0.08382707583179688
nom__Neighborhood_Crawfor,0.07583663877705435,0.07583663877705435
nom__Condition2_Feedr,0.07007653443298723,0.07007653443298723
nom__Condition1_RRAe,0.06962331589236177,-0.06962331589236177
nom__Condition2_PosA,0.06759526185225091,0.06759526185225091
nom__Foundation_Wood,0.06691073925913311,-0.06691073925913311
nom__MSSubClass_160,0.06690313003096739,-0.06690313003096739
nom__LotConfig_FR3,0.0656573233097472,-0.0656573233097472
nom__MSZoning_FV,0.06401065097170332,0.06401065097170332
nom__Condition2_Norm,0.06390978474134974,0.06390978474134974
nom__Heating_Wall,0.06381919888756242,0.06381919888756242
num__BsmtFinSF2,0.06121831223145445,-0.06121831223145445
num__OverallQual,0.0607060397916341,0.0607060397916341
nom__HouseStyle_1.5Unf,0.057322490521036995,0.057322490521036995
nom__BldgType_Twnhs,0.057068382523071594,-0.057068382523071594
nom__Utilities_AllPub,0.05669374810157345,0.05669374810157345
nom__Utilities_NoSeWa,0.056693748101572974,-0.056693748101572974
nom__HouseStyle_2.5Fin,0.05484253987470439,-0.05484253987470439
nom__LotConfig_CulDSac,0.05037793698438728,0.05037793698438728
nom__BldgType_2fmCon,0.049545803998142984,0.049545803998142984
nom__MSZoning_RL,0.049216810840669395,0.049216810840669395
nom__Neighborhood_NWAmes,0.047462047775081784,-0.047462047775081784
nom__Neighborhood_Mitchel,0.04680277507498368,-0.04680277507498368
nom__Neighborhood_NPkVill,0.04563600233579034,0.04563600233579034
nom__MSSubClass_70,0.04505031394937988,0.04505031394937988
