feature,importance
num__OverallQual,0.15917665
num__TotalSF,0.109594695
ord__GarageQual,0.07898475
ord__BsmtQual,0.071597174
num__GarageCars,0.04689031
ord__GarageFinish,0.046875507
nom__MSZoning_RM,0.040772557
nom__CentralAir_N,0.040355776
num__KitchenAbvGr,0.035803787
num__TotalBath,0.03099837
ord__FireplaceQu,0.028476857
ord__KitchenQual,0.023185262
ord__GarageCond,0.01888952
nom__MSZoning_RL,0.012881914
num__RemodAge,0.010711139
nom__MSSubClass_60,0.009375528
num__YearRemodAdd,0.009296172
num__OverallCond,0.007954538
num__HouseAge,0.006906843
num__Fireplaces,0.006627499
ord__LotShape,0.0065366067
nom__HouseStyle_1.5Fin,0.006292926
nom__Neighborhood_Crawfor,0.0060638916
ord__BsmtFinType1,0.0058171065
num__GarageArea,0.0056744935
ord__Functional,0.0052825087
nom__Heating_GasA,0.0052202325
num__YearBuilt,0.0050259666
num__GrLivArea,0.005024693
nom__LandContour_Bnk,0.0049294233
num__BsmtFinSF1,0.004403767
ord__BsmtExposure,0.0043557617
nom__Condition2_Norm,0.004323295
num__LotArea,0.004241759
num__2ndFlrSF,0.004174438
nom__Neighborhood_Edwards,0.0041019316
nom__Condition1_Artery,0.0034619255
nom__Neighborhood_OldTown,0.0031470454
num__FullBath,0.0031431676
nom__Neighborhood_NAmes,0.0030926974
ord__BsmtCond,0.002973989
nom__Condition1_Norm,0.0029337301
nom__Exterior1st_BrkFace,0.0029214534
nom__MSZoning_C (all),0.0029103442
num__PoolArea,0.0028409814
num__GarageYrBlt,0.002799583
nom__Exterior1st_AsbShng,0.002525541
nom__Condition1_PosN,0.0025237603
num__1stFlrSF,0.0024870848
num__ScreenPorch,0.002269114
nom__MSSubClass_30,0.0022480402
ord__LandSlope,0.002217159
nom__HouseStyle_2Story,0.0021735483
nom__Neighborhood_ClearCr,0.0021202636
nom__Exterior2nd_Stucco,0.0019825795
num__OpenPorchSF,0.0019290823
nom__LandContour_HLS,0.0018795732
ord__ExterQual,0.0017878903
nom__LotConfig_CulDSac,0.001741979
nom__MSSubClass_70,0.0017218349
num__TotalPorchSF,0.0016700383
num__BsmtUnfSF,0.0015785329
nom__RoofStyle_Gable,0.00154103
ord__Fence,0.0014592382
num__LotFrontage,0.0014372979
ord__HeatingQC,0.0014229541
nom__BldgType_1Fam,0.001369224
num__EnclosedPorch,0.00134356
nom__Exterior1st_Plywood,0.0013270532
nom__Foundation_PConc,0.001316978
nom__Foundation_CBlock,0.0012799146
nom__Exterior1st_Stucco,0.0012512339
num__TotRmsAbvGrd,0.0012237193
nom__Exterior1st_BrkComm,0.0012064198
nom__MSZoning_FV,0.0011987556
num__WoodDeckSF,0.0011923091
nom__Neighborhood_StoneBr,0.0011784153
num__TotalBsmtSF,0.0011500272
nom__Neighborhood_BrkSide,0.0011459532
num__GarageAge,0.0011352898
num__MoSold,0.0011052671
nom__Exterior1st_HdBoard,0.0010798083
nom__Neighborhood_NridgHt,0.001047083
nom__Electrical_FuseA,0.001034042
nom__Foundation_Slab,0.0009981265
nom__Neighborhood_Somerst,0.0009961498
ord__BsmtFinType2,0.0009582347
num__YrSold,0.0009558223
num__LowQualFinSF,0.0009531822
num__BedroomAbvGr,0.0009187262
nom__HouseStyle_SLvl,0.0009133111
num__Id,0.000891342
nom__LotConfig_Corner,0.00086592196
ord__ExterCond,0.0008002572
nom__MSSubClass_50,0.0007930591
nom__Neighborhood_NWAmes,0.000774681
num__HalfBath,0.00076377
num__MasVnrArea,0.00076257443
nom__LotConfig_Inside,0.00074669335
num__BsmtFinSF2,0.00073383073
num__MiscVal,0.000719674
nom__Neighborhood_Sawyer,0.0007136245
num__BsmtHalfBath,0.0007004728
nom__Electrical_FuseF,0.00069022796
nom__Exterior2nd_VinylSd,0.00068791665
nom__Neighborhood_Gilbert,0.00067159097
nom__Foundation_BrkTil,0.0006608357
nom__Electrical_SBrkr,0.0006602554
num__BsmtFullBath,0.00064041384
nom__LotConfig_FR2,0.0006218762
nom__LandContour_Lvl,0.0006008528
nom__Neighborhood_SawyerW,0.0005799438
nom__Exterior1st_WdShing,0.00057845586
nom__Exterior1st_Wd Sdng,0.0005758515
nom__Exterior1st_CemntBd,0.0005696338
nom__Condition1_RRAe,0.0005667523
nom__Neighborhood_Mitchel,0.0005634835
nom__RoofStyle_Hip,0.00056328817
nom__LandContour_Low,0.0005555134
nom__Exterior2nd_Plywood,0.0005417967
nom__MSZoning_RH,0.00053442776
nom__Neighborhood_Timber,0.0005307699
nom__Condition1_Feedr,0.00048843754
nom__Exterior2nd_AsbShng,0.00047501028
nom__Neighborhood_CollgCr,0.00047360797
nom__Neighborhood_MeadowV,0.0004638692
nom__MSSubClass_80,0.00045325176
nom__Exterior1st_MetalSd,0.0004301485
nom__MSSubClass_20,0.00041657177
nom__Exterior2nd_MetalSd,0.0003797712
nom__Exterior1st_VinylSd,0.00032739734
nom__Neighborhood_NoRidge,0.0003205659
nom__MSSubClass_90,0.00031440036
nom__Exterior2nd_HdBoard,0.0002976855
num__3SsnPorch,0.00025399926
nom__HouseStyle_1Story,0.00020170475
nom__Street_Grvl,0.0
nom__MSSubClass_190,0.0
nom__MSSubClass_75,0.0
nom__MSSubClass_45,0.0
ord__PoolQC,0.0
nom__MSSubClass_40,0.0
num__HasGarage,0.0
nom__MSSubClass_85,0.0
nom__MSSubClass_120,0.0
nom__MSSubClass_160,0.0
nom__MSSubClass_180,0.0
nom__Street_Pave,0.0
nom__HouseStyle_2.5Fin,0.0
nom__BldgType_TwnhsE,0.0
nom__HouseStyle_1.5Unf,0.0
