Variable,Type
Id,Numerique
MSSubClass,Numerique
MSZoning,Categorielle
LotFrontage,Numerique
LotArea,Numerique
Street,Categorielle
Alley,Categorielle
LotShape,Categorielle
LandContour,Categorielle
Utilities,Categorielle
LotConfig,Categorielle
LandSlope,Categorielle
Neighborhood,Categorielle
Condition1,Categorielle
Condition2,Categorielle
BldgType,Categorielle
HouseStyle,Categorielle
OverallQual,Numerique
OverallCond,Numerique
YearBuilt,Numerique
YearRemodAdd,Numerique
RoofStyle,Categorielle
RoofMatl,Categorielle
Exterior1st,Categorielle
Exterior2nd,Categorielle
MasVnrType,Categorielle
MasVnrArea,Numerique
ExterQual,Categorielle
ExterCond,Categorielle
Foundation,Categorielle
BsmtQual,Categorielle
BsmtCond,Categorielle
BsmtExposure,Categorielle
BsmtFinType1,Categorielle
BsmtFinSF1,Numerique
BsmtFinType2,Categorielle
BsmtFinSF2,Numerique
BsmtUnfSF,Numerique
TotalBsmtSF,Numerique
Heating,Categorielle
HeatingQC,Categorielle
CentralAir,Categorielle
Electrical,Categorielle
1stFlrSF,Numerique
2ndFlrSF,Numerique
LowQualFinSF,Numerique
GrLivArea,Numerique
BsmtFullBath,Numerique
BsmtHalfBath,Numerique
FullBath,Numerique
HalfBath,Numerique
BedroomAbvGr,Numerique
KitchenAbvGr,Numerique
KitchenQual,Categorielle
TotRmsAbvGrd,Numerique
Functional,Categorielle
Fireplaces,Numerique
FireplaceQu,Categorielle
GarageType,Categorielle
GarageYrBlt,Numerique
GarageFinish,Categorielle
GarageCars,Numerique
GarageArea,Numerique
GarageQual,Categorielle
GarageCond,Categorielle
PavedDrive,Categorielle
WoodDeckSF,Numerique
OpenPorchSF,Numerique
EnclosedPorch,Numerique
3SsnPorch,Numerique
ScreenPorch,Numerique
PoolArea,Numerique
PoolQC,Categorielle
Fence,Categorielle
MiscFeature,Categorielle
MiscVal,Numerique
MoSold,Numerique
YrSold,Numerique
SaleType,Categorielle
SaleCondition,Categorielle
SalePrice,Numerique
HasGarage,Numerique
