Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,TotalBathrooms,HouseAge,RemodAge,GarageAge,OverallScore,SFPerRoom,GarageAreaPerCar,LotAreaPerSF,TotalPorchSF,HasPool,HasFireplace,HasBsmt,HasGarage,HasMasVnr,SalePrice_log
1,4.0943445622221,3,4.174387269895637,9.041921720351219,1,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,1,5.2832037287379885,4,3,2,4,3,3,2,6.561030665896573,6,0.0,5.017279836814924,856.0,1,5,1,4,6.752270376141742,6.75110146893676,0.0,7.444248649496705,1,0.0,2,1,3,0.6931471805599453,4,8,6,0,0,1,2003.0,2,2,548,3,3,2,0.0,4.127134385045092,0.0,0.0,0.0,0.0,0,4,1,0.0,2,2008,8,4,208500.0,7.850103545175582,4,5,5,1.791759469228055,12,5.36480710781687,274.0,1.597673070854514,4.127134385045092,0.0,0,0.6931471805599453,0.6931471805599453,1,12.24769911637256
2,2.995732273553991,3,4.382026634673881,9.169518377455928,1,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,2,0.0,3,3,1,4,3,1,0,6.88653164253051,6,0.0,5.652489180268651,1262.0,1,5,1,4,7.140453043101158,0.0,0.0,7.140453043101158,0,0.6931471805599453,2,0,3,0.6931471805599453,3,6,6,1,3,1,1976.0,2,2,460,3,3,2,5.700443573390687,0.0,0.0,0.0,0.0,0.0,0,4,1,0.0,5,2007,8,4,181500.0,7.8336002236611035,3,31,31,3.4657359027997265,14,5.348693573873104,230.0,2.029065334354769,5.700443573390687,0.0,1,0.6931471805599453,0.6931471805599453,0,12.109016442313738
3,4.0943445622221,3,4.219507705176107,9.328123407632566,1,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,1,5.093750200806762,4,3,2,4,3,2,2,6.18826412308259,6,0.0,6.075346031088684,920.0,1,5,1,4,6.824373670043086,6.7650389767805414,0.0,7.487733761436444,1,0.0,2,1,3,0.6931471805599453,4,6,6,1,3,1,2001.0,2,2,608,3,3,2,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,0,4,1,0.0,9,2008,8,4,223500.0,7.903226808730733,4,7,6,2.0794415416798357,12,5.69597429220839,304.0,1.8403896461961218,3.7612001156935624,0.0,1,0.6931471805599453,0.6931471805599453,1,12.317171167298682
4,4.248495242049359,3,4.0943445622221,9.164296433474776,1,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,2,0.0,3,3,0,3,4,3,0,5.37989735354046,6,0.0,6.293419278846481,756.0,1,4,1,4,6.8679744089702925,6.6293632534374485,0.0,7.448333860897476,1,0.0,1,0,3,0.6931471805599453,4,7,6,1,4,5,1998.0,3,3,642,3,3,2,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,0,4,1,0.0,2,2006,8,0,140000.0,7.813187267521416,2,91,36,2.1972245773362196,12,5.502423711842162,214.0,1.7159625725773004,5.730099782973574,0.0,1,0.6931471805599453,0.6931471805599453,0,11.849404844423074
5,4.0943445622221,3,4.430816798843313,9.565213693968287,1,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,1,5.860786223465865,4,3,2,4,3,0,2,6.486160788944089,6,0.0,6.19644412779452,1145.0,1,5,1,4,7.0431599159883405,6.960347729101308,0.0,7.6953031349635665,1,0.0,2,1,4,0.6931471805599453,4,9,6,1,3,1,2000.0,2,3,836,3,3,2,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,0,4,1,0.0,12,2008,8,4,250000.0,8.114623886420098,4,8,8,2.1972245773362196,13,5.498078557627347,278.6666666666667,1.8699105590047203,5.6240175061873385,0.0,1,0.6931471805599453,0.6931471805599453,1,12.429220196836383
6,3.912023005428146,3,4.442651256490317,9.55499334068759,1,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,2,0.0,3,3,5,4,3,3,2,6.597145701886651,6,0.0,4.174387269895637,796.0,1,5,1,4,6.679599185844383,6.340359303727752,0.0,7.216709486709457,1,0.0,1,1,1,0.6931471805599453,3,5,6,0,0,1,1993.0,3,2,480,3,3,2,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,0,2,3,6.55250788703459,10,2009,8,4,143000.0,7.67693714581808,3,16,14,2.833213344056216,10,5.607271574275357,240.0,2.338283853978132,5.968707559985366,0.0,0,0.6931471805599453,0.6931471805599453,0,11.870606902224587
7,2.995732273553991,3,4.31748811353631,9.218705288307811,1,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,3,5.231108616854587,4,3,2,5,3,0,2,7.222566018822171,6,0.0,5.762051382780177,1686.0,1,5,1,4,7.434847875211999,0.0,0.0,7.434847875211999,1,0.0,2,0,3,0.6931471805599453,4,7,6,1,4,1,2004.0,2,2,636,3,3,2,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,0,4,1,0.0,8,2007,8,4,307000.0,8.125630988477065,3,3,2,1.3862943611198906,13,5.488937726156687,318.0,1.7838574130958107,5.746203190540153,0.0,1,0.6931471805599453,0.6931471805599453,1,12.634606283893019
8,4.0943445622221,3,4.382026634673881,9.247828816387175,1,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,3,5.484796933490655,3,3,1,4,3,2,0,6.756932389247553,1,3.4965075614664802,5.37989735354046,1107.0,1,5,1,4,7.009408932708637,6.891625897052253,0.0,7.644919344958857,1,0.0,2,1,3,0.6931471805599453,3,7,6,2,3,1,1973.0,2,2,484,3,3,2,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,0,4,3,5.860786223465865,11,2009,8,4,200000.0,8.069968149059841,4,36,36,3.6109179126442243,13,5.699009195903543,242.0,1.6029094714283176,6.504288173536645,0.0,1,0.6931471805599453,0.6931471805599453,1,12.206077645517674
9,3.912023005428146,4,3.9318256327243257,8.719317375506371,1,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,2,0.0,3,3,0,3,3,3,6,0.0,6,0.0,6.859614903654202,952.0,1,4,1,1,6.92951677076365,6.6240652277998935,0.0,7.480992162869525,0,0.0,2,0,2,1.0986122886681098,3,8,2,2,3,5,1931.0,3,2,468,2,3,2,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,0,4,1,0.0,4,2008,8,0,129900.0,7.9105906122564775,2,77,58,4.356708826689592,12,5.401550621189688,234.0,1.238325212636847,5.69035945432406,0.0,1,0.6931471805599453,0.6931471805599453,0,11.774527900858468
10,5.247024072160486,3,3.912023005428146,8.911934336161426,1,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,2,0.0,3,3,0,3,3,3,2,6.747586526829315,6,0.0,4.948759890378168,991.0,1,5,1,4,6.981934677156389,0.0,0.0,6.981934677156389,1,0.0,1,0,2,1.0986122886681098,3,5,6,2,3,1,1939.0,2,1,205,4,3,2,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0,4,1,0.0,1,2008,8,4,118000.0,7.63433723562832,2,69,58,4.248495242049359,11,5.372496764722288,205.0,1.9299996590050374,1.6094379124341003,0.0,1,0.6931471805599453,0.6931471805599453,0,11.678448377988165
