identifiant,type_de_logement,zonage_classification,facade_en_pieds,superficie_du_lot_pieds,type_de_route,acces_a_une_allee,forme_du_lot,topographie_du_terrain,services_publics_disponibles,configuration_du_lot,inclinaison_du_terrain,quartier,proximite_1ere_condition,proximite_2e_condition,type_de_batiment,style_de_maison,qualite_globale,etat_general,annee_de_construction,annee_de_renovation,style_de_toit,materiau_du_toit,revetement_exterieur_1,revetement_exterieur_2,type_de_parement_en_maconnerie,surface_de_parement_pieds,qualite_exterieure,etat_exterieur,type_de_fondation,qualite_du_sous_sol,etat_general_du_sous_sol,exposition_du_sous_sol,type_de_finition_sous_sol_1,surface_finie_sous_sol,type_de_finition_sous_sol_2,surface_finie_sous_sol_2,surface_non_finie_sous_sol,total_surface_sous_sol,type_de_chauffage,qualite_du_chauffage,climatisation_centrale,systeme_electrique,surface_du_premier_etage,surface_du_deuxieme_etage,surface_finie_basse_qualite_pieds,surface_habitable_totale,salles_de_bain_completes_sous_sol,demi_salles_de_bain_sous_sol,salles_de_bain_completes,demi_salles_de_bain,chambres_hors_sous_sol,cuisines_hors_sous_sol,qualite_de_la_cuisine,total_des_pieces_hors_sous_sol,fonctionnalite_globale,nombre_de_cheminees,qualite_de_la_cheminee,type_de_garage,annee_de_construction_du_garage,finition_interieure_du_garage,capacite_du_garage_voitures,surface_du_garage,qualite_du_garage,condition_du_garage,allee_pavee,surface_du_deck_en_bois,surface_du_porche_ouvert,porche_ferme,porche_trois_saisons,porche_screen,surface_de_la_piscine_pieds,qualite_de_la_piscine,cloture,caracteristiques_supplementaires,valeur_des_caracteristiques_supplementaires,mois_de_vente,annee_de_vente,type_de_vente,condition_de_la_vente,prix_de_vente,prix_de_vente_log,age_maison,age_renovation,age_garage,surface_totale,surface_totale_porches,total_salles_bain,presence_garage
1,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,65,8450,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,2003,2003,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,196,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,706,Non fini,0,150,856.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,856,854,0,1710,1,0,2,1,3,1,Bon,8,Typ,0,NA,Attaché à la maison,2003.0,Partiellement aménagé,2,548,Moyen,Moyen,Pavé,0,61,0,0,0,0,NA,NA,NA,0,Février,2008,Acte de garantie - Conventionnel,Vente normale,208500,12.24769911637256,5,5,5.0,2566.0,61,3.5,1
2,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,80,9600,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Double façade,Pente douce,Veenker,Proche d'une route secondaire,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Très bon,1976,1976,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,CBlock,Bon,Moyen,Bonne exposition,Fini - Moyenne,978,Non fini,0,284,1262.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1262,0,0,1262,0,1,2,0,3,1,Moyen,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1976.0,Partiellement aménagé,2,460,Moyen,Moyen,Pavé,298,0,0,0,0,0,NA,NA,NA,0,Mai,2007,Acte de garantie - Conventionnel,Vente normale,181500,12.109016442313738,31,31,31.0,2524.0,0,2.5,1
3,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,68,11250,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,2001,2002,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,162,Bon,Moyen,PConc,Bon,Moyen,Exposition moyenne,Fini - Excellent,486,Non fini,0,434,920.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,920,866,0,1786,1,0,2,1,3,1,Bon,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,2001.0,Partiellement aménagé,2,608,Moyen,Moyen,Pavé,0,42,0,0,0,0,NA,NA,NA,0,Septembre,2008,Acte de garantie - Conventionnel,Vente normale,223500,12.317171167298682,7,6,7.0,2706.0,42,3.5,1
4,2 ÉTAGES 1945 ET PLUS ANCIEN,Résidentiel basse densité,60,9550,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Crawford,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,1915,1970,Pignon,Bardeau composite standard,Revêtement en bois,Wd Shng,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Bon,Aucune exposition,Fini - Moyenne,216,Non fini,0,540,756.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,961,756,0,1717,1,0,1,0,3,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,1998.0,Non aménagé,3,642,Moyen,Moyen,Pavé,0,35,272,0,0,0,NA,NA,NA,0,Février,2006,Acte de garantie - Conventionnel,Vente anormale,140000,11.849404844423074,91,36,8.0,2473.0,307,2.0,1
5,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,84,14260,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Double façade,Pente douce,Northridge,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2000,2000,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,350,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Fini - Excellent,655,Non fini,0,490,1145.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1145,1053,0,2198,1,0,2,1,4,1,Bon,9,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,2000.0,Partiellement aménagé,3,836,Moyen,Moyen,Pavé,192,84,0,0,0,0,NA,NA,NA,0,Décembre,2008,Acte de garantie - Conventionnel,Vente normale,250000,12.429220196836384,8,8,8.0,3343.0,84,3.5,1
6,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,85,14115,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Mitchell,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Moyenne,Moyenne,1993,1995,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,Wood,Bon,Moyen,Aucune exposition,Fini - Excellent,732,Non fini,0,64,796.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,796,566,0,1362,1,0,1,1,1,1,Moyen,5,Typ,0,NA,Attaché à la maison,1993.0,Non aménagé,2,480,Moyen,Moyen,Pavé,40,30,0,320,0,0,NA,Intimité minimale,Abri,700,Octobre,2009,Acte de garantie - Conventionnel,Vente normale,143000,11.870606902224589,16,14,16.0,2158.0,350,2.5,1
7,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,75,10084,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2004,2005,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,186,Bon,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Fini - Excellent,1369,Non fini,0,317,1686.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1694,0,0,1694,1,0,2,0,3,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2004.0,Partiellement aménagé,2,636,Moyen,Moyen,Pavé,255,57,0,0,0,0,NA,NA,NA,0,Août,2007,Acte de garantie - Conventionnel,Vente normale,307000,12.63460628389302,3,2,3.0,3380.0,57,3.0,1
8,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,NA,10382,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Northwest Ames,Proche d'un espace vert ou parc,Normale,Maison individuelle,Deux étages,Bon,Au-dessus de la moyenne,1973,1973,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Pierre,240,Moyen,Moyen,CBlock,Bon,Moyen,Exposition moyenne,Fini - Moyenne,859,Partiellement fini,32,216,1107.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1107,983,0,2090,1,0,2,1,3,1,Moyen,7,Typ,2,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1973.0,Partiellement aménagé,2,484,Moyen,Moyen,Pavé,235,204,228,0,0,0,NA,NA,Abri,350,Novembre,2009,Acte de garantie - Conventionnel,Vente normale,200000,12.206077645517674,36,36,36.0,3197.0,432,3.5,1
9,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,51,6120,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Vieille Ville,Proche d'une artère principale,Normale,Maison individuelle,"Un étage et demi, aménagé",Bon,Moyenne,1931,1950,Pignon,Bardeau composite standard,Brique apparente,Wd Shng,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,952,952.0,Chauffage à gaz,Bon,Oui,Fusibles,1022,752,0,1774,0,0,2,0,2,2,Moyen,8,Min1,2,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Détaché de la maison,1931.0,Non aménagé,2,468,Médiocre,Moyen,Pavé,90,0,205,0,0,0,NA,NA,NA,0,Avril,2008,Acte de garantie - Conventionnel,Vente anormale,129900,11.774527900858468,77,58,77.0,2726.0,205,2.0,1
10,CONVERSION 2 FAMILLES - TOUS STYLES ET ÂGES,Résidentiel basse densité,50,7420,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Brookside,Proche d'une artère principale,Proche d'une artère principale,Conversion deux familles,"Un étage et demi, non aménagé",Moyenne,Au-dessus de la moyenne,1939,1950,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Fini - Excellent,851,Non fini,0,140,991.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1077,0,0,1077,1,0,1,0,2,2,Moyen,5,Typ,2,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1939.0,Partiellement aménagé,1,205,Bon,Moyen,Pavé,0,4,0,0,0,0,NA,NA,NA,0,Janvier,2008,Acte de garantie - Conventionnel,Vente normale,118000,11.678448377988165,69,58,69.0,2068.0,4,2.0,1
