feature,importance
num__TotalSF,0.4133848181424499
num__OverallQual,0.2750929435485385
num__2ndFlrSF,0.026837354701342582
ord__KitchenQual,0.02562065698225943
num__BsmtFinSF1,0.021278426322724864
num__HouseAge,0.019744640466237147
num__GarageCars,0.018946179400208957
num__TotalBath,0.018074560619409413
ord__BsmtQual,0.01693741580640043
num__LotArea,0.01446949992269003
ord__GarageFinish,0.013403308937807258
num__GrLivArea,0.012472797380926147
ord__FireplaceQu,0.0076666252227206065
num__OverallCond,0.006571316668106139
num__GarageYrBlt,0.006359630630804361
num__YearRemodAdd,0.006066737057327518
num__KitchenAbvGr,0.005287066327648009
num__LotFrontage,0.0052147585113087895
num__BsmtUnfSF,0.004880829579998445
num__GarageArea,0.004833952552183664
num__RemodAge,0.004662932704403922
num__1stFlrSF,0.004426884511493269
num__TotalBsmtSF,0.004111632475157982
num__YearBuilt,0.003991971629052259
num__ScreenPorch,0.0033683184881100055
nom__MSSubClass_60,0.003215589101894752
num__GarageAge,0.0028216072204078632
nom__LandContour_Bnk,0.0025149324309067024
nom__Neighborhood_Crawfor,0.00249818468806716
ord__BsmtExposure,0.002306786688301355
nom__Neighborhood_Edwards,0.002230562093484338
num__TotalPorchSF,0.0021977605149111597
ord__PoolQC,0.0021618111610712683
nom__Condition1_Norm,0.0019980405252384642
ord__Functional,0.001888347699860169
nom__CentralAir_Y,0.001874785146406289
num__Id,0.0017720071976368768
ord__BsmtFinType1,0.0017365631492006236
nom__CentralAir_N,0.0016788380218655035
nom__Exterior1st_BrkFace,0.0015532690117980644
num__PoolArea,0.0013346422091569362
num__OpenPorchSF,0.0012427397087671026
num__MoSold,0.0011819603520560342
nom__LandContour_HLS,0.0011603457437601896
num__Fireplaces,0.0009513646185156957
nom__Neighborhood_StoneBr,0.0009140329794416056
num__BedroomAbvGr,0.0008398595242277061
nom__MSZoning_RL,0.0008024642905238749
ord__LandSlope,0.0007991531845313078
num__MasVnrArea,0.0007661329765689647
num__WoodDeckSF,0.0007315672850902356
num__HalfBath,0.0007283389701013591
nom__LotConfig_CulDSac,0.0007095386599180086
nom__Exterior2nd_MetalSd,0.0007069801783690978
ord__GarageQual,0.0006747160998464116
nom__MSZoning_RM,0.0006092463157842322
ord__GarageCond,0.0004945511821612841
nom__Condition1_Artery,0.00046833595896296655
nom__LandContour_Lvl,0.00046768402441241903
ord__LotShape,0.00046574347387522553
num__BsmtFinSF2,0.00040259661318810686
nom__Neighborhood_Somerst,0.00036912250590370233
nom__Exterior1st_MetalSd,0.00035478048702037305
num__TotRmsAbvGrd,0.0003408295352544739
nom__Exterior2nd_CmentBd,0.00029411352025546884
nom__Neighborhood_Timber,0.00028391992548774215
nom__Neighborhood_BrkSide,0.00027486301592842733
num__EnclosedPorch,0.00027154202645824293
nom__MSZoning_FV,0.0002645570146277354
nom__Condition1_RRAe,0.00023615790067479153
nom__Neighborhood_ClearCr,0.00022703980266451307
num__YrSold,0.00022274222559020247
num__3SsnPorch,0.00021489354286715145
nom__MSSubClass_70,0.0002095857706288698
nom__Exterior1st_Stucco,0.0001928786264141114
nom__Condition2_Norm,0.00017039684184343243
nom__Neighborhood_NoRidge,0.0001606720143322815
nom__Neighborhood_Veenker,0.00015480363173458472
nom__MSZoning_C (all),0.00015198408540738846
ord__BsmtFinType2,0.00014510806256214407
ord__ExterQual,0.0001388751466747623
num__BsmtFullBath,0.00013560753095665903
nom__MSSubClass_30,0.00013382057550904088
nom__Exterior1st_Wd Sdng,0.00013087756910681503
nom__RoofMatl_CompShg,0.00012718506484548414
ord__ExterCond,0.00011734425063776809
num__FullBath,0.0001131192284911806
nom__Condition1_PosN,0.0001124726447957499
nom__Neighborhood_NWAmes,0.00010109708846018434
nom__LotConfig_FR2,8.688486410451841e-05
nom__LotConfig_Inside,8.262520779851234e-05
nom__Exterior2nd_VinylSd,8.24027727124481e-05
ord__Fence,8.15499229337696e-05
nom__Foundation_Wood,6.86090580421378e-05
nom__Exterior1st_BrkComm,6.811577596370164e-05
nom__Neighborhood_NridgHt,5.6870592896791486e-05
ord__HeatingQC,5.3748505302591464e-05
nom__MSSubClass_75,5.311873555644402e-05
nom__Foundation_BrkTil,5.240383782998961e-05
nom__HouseStyle_1.5Fin,5.1105651156180475e-05
nom__Neighborhood_MeadowV,4.9442424123528105e-05
nom__MSZoning_RH,4.6333201822157285e-05
nom__Exterior1st_HdBoard,4.56268635313921e-05
num__LowQualFinSF,4.5497762428320424e-05
num__BsmtHalfBath,4.4980115573133955e-05
nom__MSSubClass_80,4.355320482799392e-05
nom__Neighborhood_Blmngtn,4.241890800949264e-05
nom__Neighborhood_Sawyer,4.017337398880514e-05
nom__Exterior2nd_Wd Sdng,3.609523956864125e-05
nom__Exterior1st_AsbShng,3.278515909404325e-05
nom__BldgType_1Fam,3.164840321481204e-05
