feature,importance,coefficient
nom__RoofMatl_ClyTile,614682.465657619,-614682.465657619
num__RemodAge,190600.97720063923,-190600.97720063923
num__YearRemodAdd,189256.20742401315,-189256.20742401315
nom__Condition2_PosN,180475.65720509086,-180475.65720509086
num__TotalSF,110748.981845942,-110748.981845942
num__2ndFlrSF,75662.65971850985,75662.65971850985
num__TotalBsmtSF,58832.346891281755,58832.346891281755
num__1stFlrSF,58570.146174243164,58570.146174243164
nom__Exterior1st_ImStucc,51772.176981911565,-51772.176981911565
nom__Condition2_PosA,48211.85541768764,48211.85541768764
nom__Neighborhood_StoneBr,45792.388019779966,45792.388019779966
nom__RoofMatl_WdShngl,45731.99906598312,45731.99906598312
nom__Exterior1st_Stone,44319.43717977387,44319.43717977387
nom__Exterior2nd_ImStucc,41941.584345701536,41941.584345701536
nom__Neighborhood_NridgHt,38938.43003465915,38938.43003465915
nom__Utilities_AllPub,37853.57752654227,37853.57752654227
num__HouseAge,37381.49518030972,-37381.49518030972
nom__Foundation_Wood,36169.476647892094,-36169.476647892094
nom__BldgType_2fmCon,36023.54502102407,36023.54502102407
nom__Heating_OthW,35255.56184077039,-35255.56184077039
nom__Condition2_RRAe,34231.82457081257,-34231.82457081257
nom__LotConfig_FR3,31381.735616193273,-31381.735616193273
ord__PoolQC,30593.88184075484,30593.88184075484
num__TotalBath,30369.745119876967,-30369.745119876967
nom__Neighborhood_NPkVill,28039.93454404838,28039.93454404838
nom__MSZoning_C (all),27551.191068847525,-27551.191068847525
nom__Street_Grvl,26886.4608886296,-26886.4608886296
num__YearBuilt,26405.601498912278,-26405.601498912278
nom__MSSubClass_190,22911.413853041242,-22911.413853041242
num__FullBath,22174.951018996253,22174.951018996253
num__BsmtFullBath,21891.424397077666,21891.424397077666
nom__Foundation_Slab,20811.03863053586,20811.03863053586
nom__Exterior1st_BrkFace,19975.770923727436,19975.770923727436
nom__Condition1_RRAe,19780.685321562745,-19780.685321562745
nom__Exterior2nd_Other,18511.441802569436,-18511.441802569436
nom__Exterior2nd_Stone,18466.27274636146,-18466.27274636146
nom__Neighborhood_NoRidge,17892.4964501052,17892.4964501052
num__BsmtFinSF1,17887.737259454225,17887.737259454225
num__TotalPorchSF,17501.64852138142,17501.64852138142
nom__BldgType_Twnhs,16769.18423623945,-16769.18423623945
nom__LandContour_HLS,16478.041447208598,16478.041447208598
nom__Neighborhood_BrDale,16060.24886572303,16060.24886572303
nom__Heating_Floor,15978.43845877157,15978.43845877157
nom__RoofStyle_Shed,15890.312399518416,15890.312399518416
