feature,importance
num__TotalSF,876
num__LotArea,605
num__TotalBsmtSF,531
num__GrLivArea,515
num__GarageArea,483
num__TotalPorchSF,473
num__MasVnrArea,457
num__BsmtFinSF1,435
num__1stFlrSF,425
num__Id,424
num__BsmtUnfSF,384
num__2ndFlrSF,370
num__OpenPorchSF,359
num__LotFrontage,297
num__OverallQual,256
num__HouseAge,251
num__WoodDeckSF,223
num__TotRmsAbvGrd,203
num__OverallCond,201
num__GarageYrBlt,196
num__YearBuilt,181
num__RemodAge,147
num__TotalBath,145
num__YearRemodAdd,144
ord__FireplaceQu,138
ord__BsmtExposure,129
num__GarageAge,128
num__MoSold,120
num__GarageCars,95
ord__LotShape,90
ord__BsmtFinType1,88
ord__KitchenQual,81
num__YrSold,81
nom__Neighborhood_NoRidge,81
ord__BsmtQual,79
nom__Neighborhood_StoneBr,69
ord__Functional,64
nom__Neighborhood_BrkSide,59
nom__Condition1_Norm,57
num__FullBath,56
num__Fireplaces,51
num__ScreenPorch,50
ord__GarageFinish,48
num__EnclosedPorch,46
nom__Exterior1st_BrkFace,46
ord__HeatingQC,40
nom__Exterior2nd_CmentBd,39
nom__LotConfig_CulDSac,38
nom__Neighborhood_Crawfor,38
nom__CentralAir_N,35
num__BedroomAbvGr,34
nom__Neighborhood_Edwards,33
nom__MSZoning_FV,31
num__HalfBath,31
nom__MSSubClass_60,30
ord__ExterQual,29
nom__Condition1_Artery,27
ord__ExterCond,27
nom__HouseStyle_1Story,25
nom__RoofStyle_Gable,25
ord__BsmtCond,24
nom__MSSubClass_70,24
nom__LotConfig_FR2,23
nom__Foundation_PConc,23
nom__LandContour_Bnk,22
nom__BldgType_1Fam,22
nom__LandContour_HLS,21
num__3SsnPorch,21
nom__LandContour_Low,20
nom__Neighborhood_Somerst,18
nom__LandContour_Lvl,18
nom__LotConfig_Inside,17
num__KitchenAbvGr,17
ord__BsmtFinType2,16
nom__MSZoning_RM,16
nom__MSSubClass_20,15
nom__Neighborhood_NAmes,14
ord__GarageCond,14
nom__Neighborhood_OldTown,13
num__BsmtFullBath,13
num__BsmtFinSF2,13
nom__HouseStyle_2Story,13
nom__Exterior1st_HdBoard,12
ord__Fence,11
nom__MSZoning_RL,11
nom__Exterior1st_Wd Sdng,11
nom__Exterior1st_VinylSd,11
nom__Foundation_CBlock,11
nom__Exterior1st_MetalSd,10
nom__BldgType_TwnhsE,9
nom__MSSubClass_30,9
nom__Exterior2nd_Plywood,9
nom__Exterior2nd_MetalSd,9
nom__Heating_GasA,8
nom__RoofStyle_Hip,8
nom__HouseStyle_SLvl,8
nom__LotConfig_Corner,8
nom__Exterior1st_Stucco,8
nom__Neighborhood_NWAmes,7
ord__GarageQual,7
nom__HouseStyle_1.5Fin,7
nom__Foundation_BrkTil,6
nom__Exterior2nd_VinylSd,5
nom__Exterior2nd_Stucco,5
num__BsmtHalfBath,4
nom__Electrical_SBrkr,4
nom__Neighborhood_CollgCr,4
nom__MSSubClass_160,3
nom__MSSubClass_50,3
nom__MSSubClass_80,3
ord__LandSlope,2
nom__Neighborhood_NridgHt,2
nom__Exterior2nd_Wd Sdng,2
nom__Exterior1st_Plywood,2
nom__CentralAir_Y,2
nom__Electrical_FuseA,1
nom__Exterior2nd_Wd Shng,1
nom__Condition1_Feedr,1
nom__BldgType_Duplex,1
nom__Exterior2nd_HdBoard,1
nom__Street_Pave,0
nom__MSSubClass_120,0
nom__MSSubClass_180,0
nom__MSSubClass_75,0
nom__MSSubClass_85,0
nom__MSSubClass_45,0
nom__MSSubClass_40,0
ord__PoolQC,0
num__PoolArea,0
num__MiscVal,0
num__HasGarage,0
num__LowQualFinSF,0
nom__Street_Grvl,0
nom__MSZoning_C (all),0
nom__MSZoning_RH,0
nom__MSSubClass_190,0
nom__MSSubClass_90,0
nom__Neighborhood_Gilbert,0
nom__Neighborhood_IDOTRR,0
nom__Neighborhood_SawyerW,0
nom__Neighborhood_Sawyer,0
nom__Neighborhood_SWISU,0
nom__Neighborhood_NPkVill,0
nom__LotConfig_FR3,0
nom__Neighborhood_ClearCr,0
nom__Neighborhood_Blueste,0
nom__Neighborhood_BrDale,0
nom__HouseStyle_2.5Unf,0
nom__HouseStyle_2.5Fin,0
nom__BldgType_Twnhs,0
nom__HouseStyle_1.5Unf,0
nom__Condition2_RRAn,0
nom__Condition2_RRAe,0
nom__Condition2_RRNn,0
nom__BldgType_2fmCon,0
nom__Condition2_PosN,0
nom__Condition2_PosA,0
nom__Condition1_RRAn,0
