feature,importance
num__TotalSF,0.39992101191444074
num__OverallQual,0.35398183599811633
num__2ndFlrSF,0.023953287358980047
ord__KitchenQual,0.012182927485909595
num__YearBuilt,0.012091558246746105
ord__BsmtQual,0.011435079458064122
num__GrLivArea,0.01093073441161244
num__LotArea,0.010481503938562913
num__TotalBath,0.010172885827069282
num__BsmtFinSF1,0.009850314609047613
num__GarageCars,0.009651142694906743
num__HouseAge,0.009294436039397759
num__LotFrontage,0.008547031022588771
num__GarageArea,0.007958485524648094
num__BsmtUnfSF,0.00656717461751605
num__RemodAge,0.005934992547479791
num__YearRemodAdd,0.005616170817371036
num__GarageYrBlt,0.0049648866544668
num__OverallCond,0.004143393968897928
ord__FireplaceQu,0.003803590995125957
num__Id,0.0037836238213951913
num__1stFlrSF,0.003751881721412983
num__WoodDeckSF,0.0035959766563146236
num__ScreenPorch,0.0033308084403178575
num__TotalBsmtSF,0.003315545401669431
num__TotalPorchSF,0.0029554367216199856
num__OpenPorchSF,0.0028851414271772857
num__MoSold,0.002543793450923244
ord__GarageFinish,0.002416174125971733
ord__BsmtExposure,0.002327318276276434
num__KitchenAbvGr,0.0022602786555022112
num__MasVnrArea,0.00218581878258878
num__TotRmsAbvGrd,0.002068729212482911
num__GarageAge,0.0018689794761545943
num__PoolArea,0.001827989369535926
ord__ExterQual,0.001792699855680584
ord__BsmtFinType1,0.0015466303841762865
num__Fireplaces,0.0014601275481765116
num__YrSold,0.0012929622618067006
ord__Functional,0.001014499984416824
num__BedroomAbvGr,0.0009573419645778517
nom__LandContour_HLS,0.0009522603913007861
nom__CentralAir_Y,0.0009074822939480031
ord__LotShape,0.0008612188607042329
nom__Exterior2nd_ImStucc,0.0008567321338847444
ord__GarageCond,0.0008062202400361879
nom__LandContour_Lvl,0.000797418752575527
nom__MSSubClass_60,0.0007656926177418141
nom__LotConfig_CulDSac,0.0007360939123221953
nom__CentralAir_N,0.0006975562273148403
nom__Neighborhood_Crawfor,0.0006830364514830922
ord__PoolQC,0.0006113590003050801
num__FullBath,0.0006060722426510704
ord__GarageQual,0.0006001484327589861
ord__HeatingQC,0.000583259064131373
ord__LandSlope,0.0005767748746599186
nom__LotConfig_Inside,0.0005558528964891912
nom__BldgType_1Fam,0.000539817278408688
nom__Neighborhood_Edwards,0.0004978784110075482
ord__Fence,0.0004871177759702517
nom__MSZoning_RM,0.0004864658019081023
num__BsmtFullBath,0.0004756520121998745
nom__Exterior1st_BrkFace,0.0004642746971898932
nom__LotConfig_Corner,0.00046372577650967325
nom__RoofMatl_CompShg,0.0004498393802123048
nom__Foundation_PConc,0.000448255828902598
num__HalfBath,0.0004446439064695566
nom__Condition1_Norm,0.00042470285848838
nom__Exterior1st_MetalSd,0.00039702059643020827
num__EnclosedPorch,0.00039078147306646224
nom__HouseStyle_2Story,0.00037457438018047046
nom__Neighborhood_NAmes,0.0003523785736234571
num__BsmtFinSF2,0.0003459962668700368
nom__Exterior2nd_VinylSd,0.00034160826948278816
nom__LandContour_Bnk,0.00033461005100944314
nom__Neighborhood_NoRidge,0.0003304493611777429
nom__Neighborhood_StoneBr,0.00031958206997922625
nom__Exterior2nd_MetalSd,0.00031927418129676377
ord__BsmtCond,0.00031391233985807935
nom__RoofStyle_Gable,0.00030824413140585766
nom__Exterior1st_VinylSd,0.00030030483197720516
ord__ExterCond,0.00029804552249269384
nom__MSZoning_RL,0.0002923273026496379
ord__BsmtFinType2,0.00028928913888421264
nom__Exterior1st_Wd Sdng,0.0002777110834055144
nom__RoofStyle_Hip,0.00025097562322958005
nom__Neighborhood_CollgCr,0.00024416588157024564
nom__Exterior2nd_Plywood,0.0002355691489201831
nom__Exterior2nd_HdBoard,0.00023389074455791437
nom__Neighborhood_OldTown,0.00023239234507279024
nom__Neighborhood_NridgHt,0.00022699712743736719
nom__Exterior2nd_Wd Sdng,0.00022239703759460974
nom__MSSubClass_20,0.0002163563075878154
nom__Exterior1st_HdBoard,0.000209921799478073
nom__RoofStyle_Flat,0.0002054467266579085
num__3SsnPorch,0.00019156586435691686
nom__Condition1_PosN,0.0001748345182342398
nom__MSSubClass_50,0.00015849826200600118
nom__Exterior2nd_BrkFace,0.00015597793991165172
nom__MSSubClass_30,0.0001541282068029308
nom__Neighborhood_Somerst,0.0001497955890807572
nom__HouseStyle_1Story,0.00014762007603477646
nom__Foundation_CBlock,0.00013841063081048352
nom__Condition1_Artery,0.00012002874463182686
nom__Foundation_BrkTil,0.00011966620445509751
nom__Exterior2nd_Brk Cmn,0.00011924909701475794
nom__HouseStyle_1.5Fin,0.00010303098176208521
nom__Neighborhood_Gilbert,0.00010138435106954072
nom__MSSubClass_70,0.00010057612073096287
nom__Neighborhood_ClearCr,9.754693025489596e-05
nom__Exterior2nd_CmentBd,9.206203543904412e-05
num__BsmtHalfBath,9.023624930689789e-05
nom__Exterior1st_Plywood,9.001897759856608e-05
nom__Condition1_Feedr,8.946834526064172e-05
nom__Neighborhood_Timber,8.662860632563624e-05
nom__MSSubClass_80,8.65414352269191e-05
nom__Neighborhood_BrkSide,8.563052066378263e-05
nom__Neighborhood_Sawyer,7.943072006842407e-05
nom__MSSubClass_160,7.693563530100319e-05
nom__Exterior1st_CemntBd,7.486560472670837e-05
nom__MSZoning_FV,7.072451340313214e-05
nom__Exterior1st_BrkComm,7.054845160709152e-05
nom__Electrical_SBrkr,7.008355438889861e-05
nom__Neighborhood_NWAmes,6.691100673621572e-05
nom__Exterior2nd_Stucco,6.606115789433976e-05
nom__MSSubClass_90,6.303258784630843e-05
nom__Exterior1st_Stucco,6.282115699444267e-05
nom__HouseStyle_2.5Fin,6.0230748314066234e-05
nom__LotConfig_FR2,5.951442187079364e-05
nom__Condition2_PosN,5.9335913646967185e-05
nom__BldgType_TwnhsE,4.909861634735485e-05
nom__Neighborhood_IDOTRR,4.7651719652134835e-05
nom__Electrical_FuseA,4.7498888735051445e-05
nom__Neighborhood_SawyerW,4.738794428002529e-05
num__LowQualFinSF,4.599473308386039e-05
num__MiscVal,4.442710967393861e-05
nom__RoofMatl_Tar&Grv,4.355981418995338e-05
nom__Exterior2nd_Wd Shng,4.319170031428364e-05
nom__Condition2_Norm,4.28491330260697e-05
nom__HouseStyle_SLvl,4.12341555167344e-05
nom__Neighborhood_Mitchel,3.879457277076402e-05
nom__MSSubClass_120,3.669797356601301e-05
num__HasGarage,3.514560064075246e-05
nom__MSZoning_C (all),3.290071728889593e-05
nom__Electrical_FuseF,3.249931138556507e-05
nom__RoofStyle_Gambrel,3.0455032808303677e-05
nom__MSSubClass_75,2.905906743901333e-05
nom__BldgType_Duplex,2.833111747240362e-05
nom__Heating_GasW,2.6529136862709753e-05
nom__Condition1_RRAe,2.50035160416118e-05
nom__LandContour_Low,2.448582757245038e-05
nom__BldgType_Twnhs,2.2675738843271854e-05
nom__Heating_GasA,2.1582630758127564e-05
nom__LotConfig_FR3,2.1083016881628136e-05
nom__MSZoning_RH,2.0918250592467677e-05
nom__Neighborhood_BrDale,1.987998631308394e-05
nom__Neighborhood_Veenker,1.924443436720619e-05
nom__Neighborhood_SWISU,1.8855027486963824e-05
nom__RoofMatl_ClyTile,1.8421615895195584e-05
nom__Exterior1st_WdShing,1.538856824880635e-05
nom__HouseStyle_2.5Unf,1.3896663789578868e-05
nom__Exterior1st_AsbShng,1.373585757569199e-05
nom__Exterior2nd_AsbShng,1.131027816828953e-05
nom__BldgType_2fmCon,1.0392982618602142e-05
nom__MSSubClass_85,9.618873929330228e-06
nom__Condition1_RRAn,9.511405324717475e-06
nom__MSSubClass_190,8.96955099094733e-06
nom__Heating_Grav,8.720883028528012e-06
nom__RoofMatl_WdShngl,8.615393182896195e-06
nom__Neighborhood_Blmngtn,7.547606886668818e-06
nom__Exterior2nd_Stone,7.104303134721513e-06
nom__Condition1_PosA,6.970427162423634e-06
nom__Condition1_RRNn,5.933108298355381e-06
nom__Neighborhood_MeadowV,5.593551874375763e-06
nom__Foundation_Slab,5.422227074818626e-06
nom__RoofMatl_WdShake,4.8910604299932605e-06
nom__HouseStyle_1.5Unf,4.6726865765474575e-06
nom__MSSubClass_40,4.336883097337699e-06
nom__HouseStyle_SFoyer,4.132393123488954e-06
nom__Neighborhood_NPkVill,4.086515698113204e-06
nom__Street_Pave,3.575347681268129e-06
nom__Exterior1st_Stone,3.1366636994950227e-06
nom__Heating_OthW,2.5879941503238764e-06
nom__Heating_Wall,2.5337496308628795e-06
nom__Condition2_PosA,2.28021562517392e-06
nom__RoofStyle_Mansard,1.998856382678648e-06
nom__Foundation_Wood,1.9749013210295267e-06
nom__Condition2_Artery,1.8122086533084876e-06
nom__Condition2_Feedr,1.75195065945601e-06
nom__Foundation_Stone,1.3139699742257025e-06
nom__Exterior2nd_AsphShn,1.2098919715566474e-06
nom__MSSubClass_45,1.1535635029281438e-06
nom__Electrical_FuseP,9.690595559218684e-07
nom__RoofStyle_Shed,9.588607436052455e-07
nom__Neighborhood_Blueste,8.411920601348357e-07
nom__RoofMatl_Metal,5.634297651701961e-07
nom__Heating_Floor,5.588430522105354e-07
nom__Exterior2nd_Other,5.041027908952589e-07
nom__Street_Grvl,5.013500710972659e-07
nom__Condition1_RRNe,3.4952083176820115e-07
nom__MSSubClass_180,3.405219684608608e-07
nom__Exterior1st_ImStucc,3.0640297687182977e-07
nom__RoofMatl_Roll,2.1615991647756955e-07
nom__Condition2_RRAn,1.6807488074986624e-07
nom__Exterior2nd_CBlock,1.642141524689745e-07
nom__Utilities_AllPub,1.6141970897397084e-07
nom__Condition2_RRNn,1.3527030592088801e-07
nom__Exterior1st_CBlock,1.0519341731337737e-07
nom__Condition2_RRAe,5.851098247671766e-08
nom__Exterior1st_AsphShn,4.982979022444491e-08
nom__Utilities_NoSeWa,3.985538404851732e-08
