feature,importance
num__OverallQual,0.1590025
num__GarageCars,0.120392404
num__TotalSF,0.08381851
ord__ExterQual,0.063917816
ord__GarageFinish,0.04133727
ord__KitchenQual,0.03582213
ord__BsmtQual,0.033663068
nom__RoofMatl_CompShg,0.027134867
num__GrLivArea,0.017249947
nom__Exterior1st_Stucco,0.015304106
ord__FireplaceQu,0.015143068
ord__GarageCond,0.015037089
num__KitchenAbvGr,0.015034562
num__TotalBath,0.013872185
nom__LandContour_Bnk,0.012943914
nom__Exterior2nd_BrkFace,0.01140687
num__RemodAge,0.01114983
nom__CentralAir_N,0.010416148
nom__RoofStyle_Flat,0.010188117
num__2ndFlrSF,0.009642498
nom__CentralAir_Y,0.009572463
nom__Exterior2nd_Plywood,0.009296009
num__PoolArea,0.00882894
nom__Exterior2nd_ImStucc,0.00862719
num__BsmtFinSF1,0.008427571
nom__MSZoning_RM,0.008276761
num__TotRmsAbvGrd,0.007834681
nom__MSSubClass_60,0.0072318437
num__FullBath,0.0069545847
nom__Neighborhood_OldTown,0.0066487878
ord__PoolQC,0.006013946
nom__Foundation_PConc,0.005992282
num__1stFlrSF,0.005592108
num__Fireplaces,0.0055868654
num__YearBuilt,0.0050390335
num__YearRemodAdd,0.0049835243
num__HouseAge,0.0045475555
nom__Neighborhood_NoRidge,0.0044909175
ord__BsmtFinType1,0.004396331
nom__Condition1_Norm,0.0042588
num__BsmtFullBath,0.004122805
num__OpenPorchSF,0.0040553533
nom__Neighborhood_Crawfor,0.0039959694
num__LotArea,0.0039573093
num__GarageYrBlt,0.003813704
ord__GarageQual,0.003721944
nom__LandContour_Lvl,0.003639097
num__TotalBsmtSF,0.0036002889
num__GarageArea,0.0034666879
nom__LotConfig_FR3,0.003353042
nom__MSZoning_RL,0.0032755581
ord__LandSlope,0.0029492
num__OverallCond,0.0028921412
ord__LotShape,0.002876602
nom__Neighborhood_Edwards,0.002792936
ord__BsmtExposure,0.0027785164
num__BedroomAbvGr,0.0027774079
nom__Exterior1st_BrkFace,0.0027586573
ord__Functional,0.002716125
nom__Neighborhood_ClearCr,0.0027026816
nom__Neighborhood_NAmes,0.0024109606
nom__Exterior2nd_CmentBd,0.0023776584
nom__LandContour_HLS,0.0022437633
num__ScreenPorch,0.002225502
num__GarageAge,0.002136491
nom__Neighborhood_StoneBr,0.0021109518
num__LotFrontage,0.0020549411
num__WoodDeckSF,0.0020004062
nom__MSSubClass_75,0.0019907658
nom__BldgType_1Fam,0.0019326576
ord__BsmtCond,0.0018946109
num__HalfBath,0.0016926273
nom__LotConfig_CulDSac,0.0016890741
nom__Condition2_PosN,0.0015112228
ord__Fence,0.0014767286
nom__Condition1_Artery,0.0014339729
nom__Neighborhood_Somerst,0.0014083786
nom__MSSubClass_30,0.0012355738
nom__Condition1_Feedr,0.0012189993
num__BsmtUnfSF,0.0011211227
nom__Exterior1st_MetalSd,0.0010534005
nom__MSZoning_FV,0.0010346369
nom__Neighborhood_Gilbert,0.0010121037
nom__Exterior2nd_MetalSd,0.0009931293
nom__Neighborhood_Blmngtn,0.0009899247
num__MasVnrArea,0.0009548361
nom__MSSubClass_80,0.00094060716
num__TotalPorchSF,0.00090475567
nom__Neighborhood_NWAmes,0.00090144674
nom__LotConfig_Corner,0.0009003283
nom__MSZoning_C (all),0.00087722676
nom__Condition1_PosA,0.0008660211
