Variable,Type
identifiant,Numerique
type_de_logement,Categorielle
zonage_classification,Categorielle
facade_en_pieds,Numerique
superficie_du_lot_pieds,Numerique
type_de_route,Categorielle
acces_a_une_allee,Categorielle
forme_du_lot,Categorielle
topographie_du_terrain,Categorielle
services_publics_disponibles,Categorielle
configuration_du_lot,Categorielle
inclinaison_du_terrain,Categorielle
quartier,Categorielle
proximite_1ere_condition,Categorielle
proximite_2e_condition,Categorielle
type_de_batiment,Categorielle
style_de_maison,Categorielle
qualite_globale,Categorielle
etat_general,Categorielle
annee_de_construction,Numerique
annee_de_renovation,Numerique
style_de_toit,Categorielle
materiau_du_toit,Categorielle
revetement_exterieur_1,Categorielle
revetement_exterieur_2,Categorielle
type_de_parement_en_maconnerie,Categorielle
surface_de_parement_pieds,Numerique
qualite_exterieure,Categorielle
etat_exterieur,Categorielle
type_de_fondation,Categorielle
qualite_du_sous_sol,Categorielle
etat_general_du_sous_sol,Categorielle
exposition_du_sous_sol,Categorielle
type_de_finition_sous_sol_1,Categorielle
surface_finie_sous_sol,Numerique
type_de_finition_sous_sol_2,Categorielle
surface_finie_sous_sol_2,Numerique
surface_non_finie_sous_sol,Numerique
total_surface_sous_sol,Numerique
type_de_chauffage,Categorielle
qualite_du_chauffage,Categorielle
climatisation_centrale,Categorielle
systeme_electrique,Categorielle
surface_du_premier_etage,Numerique
surface_du_deuxieme_etage,Numerique
surface_finie_basse_qualite_pieds,Numerique
surface_habitable_totale,Numerique
salles_de_bain_completes_sous_sol,Numerique
demi_salles_de_bain_sous_sol,Numerique
salles_de_bain_completes,Numerique
demi_salles_de_bain,Numerique
chambres_hors_sous_sol,Numerique
cuisines_hors_sous_sol,Numerique
qualite_de_la_cuisine,Categorielle
total_des_pieces_hors_sous_sol,Numerique
fonctionnalite_globale,Categorielle
nombre_de_cheminees,Numerique
qualite_de_la_cheminee,Categorielle
type_de_garage,Categorielle
annee_de_construction_du_garage,Numerique
finition_interieure_du_garage,Categorielle
capacite_du_garage_voitures,Numerique
surface_du_garage,Numerique
qualite_du_garage,Categorielle
condition_du_garage,Categorielle
allee_pavee,Categorielle
surface_du_deck_en_bois,Numerique
surface_du_porche_ouvert,Numerique
porche_ferme,Numerique
porche_trois_saisons,Numerique
porche_screen,Numerique
surface_de_la_piscine_pieds,Numerique
qualite_de_la_piscine,Categorielle
cloture,Categorielle
caracteristiques_supplementaires,Categorielle
valeur_des_caracteristiques_supplementaires,Numerique
mois_de_vente,Categorielle
annee_de_vente,Numerique
type_de_vente,Categorielle
condition_de_la_vente,Categorielle
prix_de_vente,Numerique
HasGarage,Numerique
